,customer_id,date_joined,total_spent,current_plan
1,1001,2021-09-19,55.93,7.99
2,1002,2021-07-19,76.70400000000001,7.99
3,1003,2021-08-19,109.89,9.99
4,1004,2021-05-19,69.93,9.99
5,1005,2021-04-19,107.86500000000001,7.99
6,1006,2020-04-19,194.157,7.99
7,1007,2020-03-19,134.232,7.99
8,1008,2020-07-19,153.40800000000002,7.99
9,2009,2019-07-19,327.348,12.99
10,20010,2019-07-19,327.348,12.99
11,20011,2019-07-19,420.876,12.99
12,20012,2019-03-19,319.6,7.99
13,20013,2021-07-19,95.88,7.99
14,20014,2021-04-19,149.85,9.99
15,20015,2021-03-19,159.84,9.99
16,20016,2021-02-19,220.83,12.99
17,20017,2019-02-19,532.59,12.99
18,20018,2019-02-19,479.331,12.99
19,20019,2019-11-19,230.11200000000002,7.99
20,20020,2019-11-19,204.544,7.99
21,20021,2021-05-19,89.48800000000001,7.99
22,20022,2021-02-19,108.66400000000002,7.99
23,20023,2021-02-19,176.66400000000002,12.99
24,20024,2021-01-19,187.056,12.99
25,20025,2020-02-19,185.36800000000002,7.99
